node_id,word,y_ldt_z,y_ldt_raw_zscore,y_ldt_rt_ms,ldt_accuracy,ldt_obs,ldt_sd,y_naming_z,y_naming_raw_zscore,y_naming_rt_ms,naming_accuracy,naming_obs,length,z_length,log_freq_hal,z_log_freq_hal,lgsubtlwf,z_lgsubtlwf,ortho_n,z_ortho_n,old,z_old,nphon,z_nphon,nsyll,z_nsyll,nmorph,z_nmorph,age_of_acquisition,z_age_of_acquisition,emotional_valence,z_emotional_valence,emotional_arousal,z_emotional_arousal,emotional_dominance,z_emotional_dominance,body_object_interaction,z_body_object_interaction
267,you,0.020778855424049374,-0.597,615.212,1.0,25.0,152.011,-1.0601235266411662,-0.713,584.16,1.0,,3,-1.4560082380105148,15.431,3.570762172547309,6.329,4.39665321651407,7,0.18145167048708571,1.85,-0.07165964365156631,2,-1.6102428905902582,1,-0.8281434787069444,1,-0.6133818164857131,4.346,-0.8959136360676277,,,,,,,5.52,1.1887358371705665
268,yes,-0.46010878693073587,-0.675,596.824,1.0,27.0,262.519,-1.4744181619805419,-0.793,584.741,1.0,,3,-1.4560082380105148,12.191,1.510172046092758,5.008,2.51864650784227,9,0.4940385536732661,1.7,-0.31362231253545175,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,2.311,-1.9646674191859674,,,,,,,1.625,-1.192877726645935
269,dry,-1.0026486911258776,-0.763,596.943,1.0,28.0,251.823,-1.2569134784273697,-0.751,569.571,1.0,,3,-1.4560082380105148,9.872,0.03532374262111954,3.34,0.14732539500005717,9,0.4940385536732661,1.7,-0.31362231253545175,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,4.11,-1.0198575637413023,4.86,-0.36850377709476145,3.8,-0.4485339347145078,6.21,0.7745242024388038,2.0,-0.9635824541347185
270,street,-0.7930310008686634,-0.729,547.0,1.0,22.0,94.24,1.1408167235992648,-0.288,655.318,1.0,,6,0.3274142236247869,11.24,0.9053506849019307,3.878,0.9121759697657112,0,-0.9126024206645457,1.95,0.08964880227102363,5,0.33948432916265947,1,-0.8281434787069444,1,-0.6133818164857131,4.58,-0.773020080662374,5.07,-0.22289004428949477,3.45,-0.7972762400630476,5.41,-0.01800579112588953,4.708,0.6922351404262795
271,false,2.70265224547958,-0.162,718.065,0.94,24.0,205.071,1.0631364794731317,-0.303,648.0,0.96,,5,-0.267059930253647,0.0,-6.243116296995961,3.033,-0.2891227954331318,1,-0.7563089790714554,2.0,0.1703030252323188,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,6.723,0.35245380495069795,3.27,-1.4710077540489237,5.23,0.9763274842809571,4.7,-0.721376160414555,,
272,tea,-1.613006083345412,-0.862,530.147,1.0,23.0,120.63,-0.014029572409243986,-0.511,605.13,1.0,,3,-1.4560082380105148,9.07,-0.47473591213707494,3.476,0.34067052170661666,15,1.4317992032318072,1.4,-0.7975476503032223,2,-1.6102428905902582,1,-0.8281434787069444,1,-0.6133818164857131,5.47,-0.3056044212150414,6.56,0.8102740599002541,2.05,-2.1922454614572087,6.0,0.5664850791280718,6.154,1.5763977112295302
273,hold,-0.7991962270526991,-0.73,613.176,1.0,28.0,355.229,-0.7131517695444397,-0.646,558.321,1.0,,4,-0.8615340841320809,11.171,0.8614677470237314,4.348,1.580353981178085,14,1.275505761638717,1.3,-0.9588560962258122,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,4.67,-0.7257533285834303,6.05,0.4566407088017495,4.86,0.6076570471982145,5.67,0.23956645678263566,2.32,-0.7679171549251472
274,boss,-1.1506141195427346,-0.787,595.686,1.0,28.0,268.962,-1.3760231860874401,-0.774,541.214,1.0,,4,-0.8615340841320809,9.211,-0.3850620825598861,3.802,0.8041301636649869,22,2.5258532943834386,1.5,-0.636239204380632,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,6.16,0.05677401139019435,4.76,-0.4378436498591745,4.43,0.17920221491286445,4.65,-0.7709092850123481,4.083,0.3100763529075854
275,strange,0.26122267660144133,-0.558,637.206,1.0,26.0,180.608,1.7156505301326477,-0.177,669.077,1.0,,7,0.9218883775032208,10.379,0.35776793833484094,3.644,0.5795086194029548,0,-0.9126024206645457,1.85,-0.07165964365156631,6,0.989393402413632,1,-0.8281434787069444,1,-0.6133818164857131,6.42,0.19332240628492067,4.72,-0.46557959896493967,3.5,-0.7474559107275421,5.28,-0.14679191508015213,1.583,-1.2185587971671912
276,drug,-0.632735120083735,-0.703,572.219,0.97,28.0,183.717,-0.6354715254183069,-0.631,584.464,1.0,,4,-0.8615340841320809,10.53,0.45380161398133384,3.363,0.18002346789896076,5,-0.13113521269909467,1.7,-0.31362231253545175,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,8.11,1.0808869731006423,4.11,-0.8885528228278569,4.48,0.2290225442483709,3.67,-1.741758527129098,5.375,1.10007499846623
277,ghost,-1.4157188454562692,-0.83,567.412,1.0,26.0,161.86,-0.7545812330783773,-0.654,556.385,1.0,,5,-0.267059930253647,9.292,-0.3335473293985226,3.271,0.049231176303346995,0,-0.9126024206645457,1.9,0.008994579309728482,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,5.06,-0.5209307362413408,4.23,-0.8053449755105615,5.7,1.4446385800347108,4.47,-0.9492285335644048,1.76,-1.110331428541897
